code,industry
000001,金融行业
000002,房地产
000003,--
000004,软件服务
000005,--
000006,房地产
000007,房地产服务
000008,交运设备
000009,房地产
000010,工程建设
000011,房地产
000012,玻璃陶瓷
000014,房地产
000015,--
000016,家电行业
000017,珠宝首饰
000018,--
000019,贸易行业
000020,光学光电子
000021,电子信息
000023,--
000024,--
000025,珠宝首饰
000026,珠宝首饰
000027,电力行业
000028,医药商业
000029,房地产
000030,汽车行业
000031,房地产
000032,工程建设
000033,--
000034,计算机设备
000035,环保工程
000036,房地产
000037,电力行业
000038,--
000039,机械行业
000040,电力行业
000042,房地产
000045,光学光电子
000046,--
000047,--
000048,农牧饲渔
000049,电池
000050,电子器件
000055,装修装饰
000056,房地产服务
000058,商业百货
000059,石油行业
000060,有色金属
000061,贸易行业
000062,电子元件
000063,电子信息
000065,工程建设
000066,计算机设备
000068,环保工程
000069,房地产开发
000070,通讯行业
000078,医药商业
000088,交通运输
000089,民航机场
000090,房地产开发
000096,石油行业
000099,民航机场
000100,家电行业
000150,--
000151,国际贸易
000153,医药制造
000155,农药化肥
000157,机械行业
000158,综合行业
000159,石油行业
000166,金融行业
000301,综合行业
000333,家电行业
000338,汽车制造
000400,发电设备
000401,水泥建材
000402,房地产
000403,生物制品
000404,家电行业
000405,--
000406,--
000407,燃气
000408,商业百货
000409,互联网服务
000410,机械行业
000411,医药商业
000412,--
000413,光学光电子
000415,多元金融
000416,--
000417,商业百货
000419,商业百货
000420,化纤行业
000421,燃气
000423,生物制药
000425,机械行业
000426,有色金属
000429,高速公路
000430,旅游酒店
000498,工程建设
000501,商业百货
000502,--
000503,软件开发
000506,贵金属
000507,港口水运
000508,--
000509,光学光电子
000510,化学原料
000513,生物制药
000514,房地产
000515,--
000516,医疗行业
000517,房地产
000519,机械行业
000520,港口水运
000521,家电行业
000522,--
000523,食品饮料
000524,旅游酒店
000525,农药兽药
000526,文教休闲
000527,--
000528,工程机械
000529,食品饮料
000530,机械行业
000531,电力行业
000532,综合行业
000533,输配电气
000534,生物制品
000535,--
000536,光学光电子
000537,房地产
000538,生物制药
000539,电力行业
000540,--
000541,家电行业
000542,--
000543,电力行业
000544,公用事业
000545,化学原料
000546,环保行业
000547,通信设备
000548,高速公路
000549,--
000550,汽车整车
000551,环保行业
000552,煤炭采选
000553,农药兽药
000554,石油行业
000555,电子信息
000556,--
000557,交运物流
000558,旅游酒店
000559,汽车制造
000560,房地产服务
000561,通讯行业
000562,--
000563,金融行业
000564,商业百货
000565,化工行业
000566,医药制造
000567,多元金融
000568,酿酒行业
000569,--
000570,汽车零部件
000572,汽车整车
000573,房地产
000576,电源设备
000578,--
000582,交通运输
000586,通讯行业
000587,--
000591,商业百货
000596,酿酒行业
000597,医药制造
000598,环保行业
000599,橡胶制品
000600,电力行业
000601,电力行业
000602,--
000603,有色金属
000605,公用事业
000606,--
000607,文化传媒
000608,房地产服务
000609,房地产
000610,旅游酒店
000611,--
000612,有色金属
000613,--
000615,美容护理
000616,--
000617,机械行业
000618,--
000619,装修建材
000620,综合行业
000621,--
000622,--
000623,生物制药
000625,汽车制造
000626,国际贸易
000627,--
000628,工程建设
000629,钢铁行业
000630,有色金属
000631,房地产
000632,综合行业
000633,有色金属
000636,电子元件
000637,石油行业
000638,农牧饲渔
000639,食品饮料
000650,中药
000651,家电行业
000652,综合行业
000653,--
000655,钢铁行业
000656,房地产
000657,有色金属
000658,--
000659,包装材料
000660,--
000661,生物制药
000662,--
000663,木业家具
000665,文化传媒
000666,--
000667,--
000669,燃气
000670,半导体
000671,--
000672,水泥建材
000673,--
000675,--
000676,互联网服务
000677,化纤行业
000678,汽车行业
000683,化工行业
000692,公用事业
000693,--
000695,电池
000697,航天航空
000698,石油行业
000701,贸易行业
000702,农牧饲渔
000703,化纤行业
000705,医药商业
000707,化学原料
000708,钢铁行业
000709,钢铁行业
000710,医疗器械
000711,环保行业
000712,券商信托
000713,农牧饲渔
000715,商业百货
000716,食品饮料
000717,钢铁行业
000718,房地产
000719,文化传媒
000720,电网设备
000721,旅游酒店
000722,电力行业
000723,煤炭采选
000725,电子器件
000726,纺织服装
000728,金融行业
000729,酿酒行业
000730,--
000731,化肥行业
000732,--
000733,电子元件
000736,房地产
000737,有色金属
000738,飞机制造
000739,生物制药
000748,--
000750,金融行业
000751,有色金属
000752,酿酒行业
000753,汽车服务
000755,高速公路
000759,商业百货
000760,--
000761,钢铁行业
000762,能源金属
000763,--
000765,--
000766,医药制造
000767,电力行业
000768,飞机制造
000769,--
000776,金融行业
000777,机械行业
000778,钢铁行业
000779,工程咨询服务
000780,--
