code,name,industry,pe_ttm,pb,total_market_cap,circ_market_cap
000001,深发展A,金融行业,4.9,0.5,2090.02,2089.98
000002,万科A,房地产,-0.87,0.29,517.79,421.69
000003,PT金田A,--,78.43,-0.27,9.04,5.2
000004,*ST国华,软件服务,-5.67,18.85,6.96,6.64
000005,ST星源,--,-4.44,0.73,8.79,8.78
000006,深振业Ａ,房地产,-11.27,2.2,118.53,118.53
000007,全新好,房地产服务,85.72,26.59,48.57,48.57
000008,神州高铁,交运设备,-16.56,2.56,74.97,74.97
000009,中国宝安,房地产,325.34,2.28,229.29,229.01
000010,美丽生态,工程建设,117.39,16.23,53.0,39.09
000011,深物业A,房地产,-4.78,1.53,51.97,45.91
000012,南  玻Ａ,玻璃陶瓷,-37.49,1.04,138.43,89.15
000013,*ST石化A,,-1.55,-0.23,7.49,1.27
000014,沙河股份,房地产,-23.44,2.39,35.24,35.24
000015,PT中浩A,--,-10.7,-0.55,10.77,1.8
000016,深康佳Ａ,家电行业,-2.89,6.11,77.3,51.25
000017,深中华A,珠宝首饰,115.77,12.48,46.73,29.89
000018,神城A退,--,-0.08,-0.35,4.59,2.69
000019,深粮控股,贸易行业,26.45,1.72,85.86,31.01
000020,深华发Ａ,光学光电子,150.96,15.55,66.06,42.27
000021,长城开发,电子信息,46.77,3.76,479.21,479.13
000023,*ST深天,--,-1.33,-2.66,2.39,2.38
000024,招商地产,--,24.59,3.17,1043.26,415.7
000025,特  力Ａ,珠宝首饰,45.67,3.84,69.49,63.32
000026,飞亚达,珠宝首饰,64.73,1.69,56.52,50.78
000027,深圳能源,电力行业,18.57,1.05,342.53,342.53
000028,国药一致,医药商业,12.7,0.78,144.26,123.91
000029,深深房Ａ,房地产,198.78,5.5,198.69,175.12
000030,富奥股份,汽车行业,12.82,1.06,86.16,83.71
000031,大悦城,房地产,-4.36,1.26,127.3,127.3
000032,深桑达Ａ,工程建设,139.86,3.01,220.31,197.5
000033,新都退,--,-105.03,31.1,7.31,7.31
000034,神州数码,计算机设备,48.68,2.32,257.62,215.36
000035,中国天楹,环保工程,72.2,1.61,165.97,160.76
000036,华联控股,房地产,174.66,1.33,67.66,67.54
000037,深南电A,电力行业,131.71,4.26,62.69,35.25
000038,大通退,--,-1.67,0.11,2.72,1.3
000039,中集集团,机械行业,21.37,1.19,579.16,247.17
000040,*ST旭蓝,电力行业,-2.06,0.07,7.29,5.17
000042,中洲控股,房地产,-4.11,1.8,59.37,59.31
000045,深纺织Ａ,光学光电子,98.53,2.32,68.89,62.15
000046,*ST泛海,--,-0.13,-0.16,19.75,19.66
000047,ST中侨,--,-7.64,-0.78,9.67,2.64
000048,京基智农,农牧饲渔,26.41,2.56,108.23,107.43
000049,德赛电池,电池,25.57,1.6,106.74,106.71
000050,深天马A,电子器件,123.05,0.76,205.96,205.96
000055,方大集团,装修装饰,350.7,0.63,38.55,24.26
000056,皇庭国际,房地产服务,-0.78,-1.05,22.0,16.81
000058,深 赛 格,商业百货,110.16,4.88,101.7,81.34
000059,华锦股份,石油行业,-3.87,0.88,89.09,89.09
000060,中金岭南,有色金属,24.36,1.71,273.58,273.57
000061,农 产 品,贸易行业,50.58,2.0,168.32,143.9
000062,深圳华强,电子元件,87.43,4.04,269.11,268.86
000063,中兴通讯,电子信息,29.18,2.18,1639.32,1380.27
000065,北方国际,工程建设,18.86,1.32,146.46,122.94
